0,Filename
1,Bm53
1,Em50
3,Am77
2,BM76
2,EM74
2,DM73
3,Dm74
1,Cm54
3,Em72
0,GM56
1,Am50
2,AM75
3,Em75
1,em52
2,BM7
3,Dm77
2,FM7
2,GM75
2,GM78
1,dm50
0,DM53
1,Gm51
0,DM5
2,AM7
3,Gm74
1,bm52
3,Am74
0,EM52
1,Bm50
3,Cm77
3,Fm70
0,EM50
2,BM73
2,GM77
3,Dm72
0,FM54
3,Am76
1,Cm52
1,Dm50
3,Am78
0,FM5
3,Bm70
3,Am72
0,AM5
2,GM74
0,DM51
2,GM70
3,Bm74
1,gm51
3,Am71
2,AM77
1,Fm53
3,Em71
0,CM55
1,am51
2,DM70
2,BM72
2,FM72
3,Gm72
1,Cm50
0,FM50
0,BM53
1,Am52
3,Cm72
0,eM50
3,Bm76
2,BM78
0,EM51
3,Bm73
0,GM52
2,DM76
0,dM50
0,eM51
2,DM7
1,Fm52
1,Em51
1,Bm51
1,Bm56
2,EM78
2,FM74
2,CM73
0,GM55
0,DM55
0,GM53
2,DM71
3,Em76
0,gM50
2,GM76
1,Bm5
3,Gm76
3,Fm76
3,Em7
1,Em55
3,Cm7
3,Em73
1,Dm53
1,Cm56
0,aM51
2,CM71
3,Fm7
1,Bm55
1,Cm53
3,Dm75
0,GM51
0,EM53
2,EM7
1,dm52
2,GM7
2,CM70
2,DM77
1,Fm55
1,Fm56
2,AM74
1,Cm55
3,Fm74
2,BM70
0,FM51
3,Cm74
0,BM5
3,Gm77
1,Am51
1,Gm55
0,FM53
0,CM52
2,FM78
1,bm50
3,Gm73
1,Gm54
0,AM51
0,eM52
0,AM55
1,Dm51
3,Gm70
0,CM54
0,DM54
3,Bm72
0,FM52
0,EM56
2,EM77
2,BM71
2,FM71
0,CM51
1,Cm51
1,Fm50
2,GM73
2,CM76
3,Dm78
1,am52
2,AM71
1,Em5
3,Am75
3,Dm71
1,Em53
2,CM72
3,Gm71
1,Em52
2,EM72
3,Cm71
2,DM78
1,Am54
1,Dm5
2,FM76
2,AM70
0,bM52
3,Cm75
2,EM70
1,Gm53
3,Dm70
0,dM51
2,GM71
0,DM52
1,Am56
3,Gm7
3,Bm71
2,AM76
3,Fm73
0,BM54
0,gM52
0,DM50
2,CM7
2,BM77
3,Am7
0,CM53
0,BM56
1,Am55
2,FM77
0,AM52
1,Bm52
2,BM74
0,EM54
1,Fm5
1,Dm54
1,em50
3,Am73
1,Fm51
2,DM74
1,Gm5
3,Em74
0,DM56
1,bm51
0,GM5
3,Fm72
0,AM50
1,Am53
0,AM56
3,Dm76
2,CM75
1,Gm56
3,Fm78
3,Bm75
2,BM75
2,EM73
0,aM50
0,aM52
3,Em77
1,Gm52
3,Bm78
1,Dm52
0,EM5
1,Dm56
1,Fm54
1,am50
0,CM5
1,Gm50
0,BM50
